Metric,Year,RawValue,Trend,PearsonCorr,SpearmanCorr,Score,Category
pinterest_users_total,2022,445000000.0,0.06971153846153846,0.7084521636808165,0.3714285714285715,0.7084521636808165,SocialMedia
pinterest_users_total,2024,518000000.0,0.16404494382022472,0.7084521636808165,0.3714285714285715,0.7084521636808165,SocialMedia
snapchat_users_age_13_17,2014,0.4,0.0,-0.2514239995349855,-0.5428571428571429,0.2514239995349855,SocialMedia
snapchat_users_age_13_17,2016,0.38,-0.050000000000000044,-0.2514239995349855,-0.5428571428571429,0.2514239995349855,SocialMedia
snapchat_users_age_13_17,2018,0.37,-0.026315789473684233,-0.2514239995349855,-0.5428571428571429,0.2514239995349855,SocialMedia
snapchat_users_age_13_17,2020,0.35,-0.054054054054054106,-0.2514239995349855,-0.5428571428571429,0.2514239995349855,SocialMedia
snapchat_users_age_13_17,2022,0.33,-0.05714285714285704,-0.2514239995349855,-0.5428571428571429,0.2514239995349855,SocialMedia
snapchat_users_age_13_17,2024,0.6,0.818181818181818,-0.2514239995349855,-0.5428571428571429,0.2514239995349855,SocialMedia
snapchat_users_total,2014,100000000.0,0.0,0.09047655267201193,-0.2,0.09047655267201193,SocialMedia
snapchat_users_total,2016,158000000.0,0.58,0.09047655267201193,-0.2,0.09047655267201193,SocialMedia
snapchat_users_total,2018,191000000.0,0.2088607594936709,0.09047655267201193,-0.2,0.09047655267201193,SocialMedia
snapchat_users_total,2020,265000000.0,0.387434554973822,0.09047655267201193,-0.2,0.09047655267201193,SocialMedia
snapchat_users_total,2022,347000000.0,0.30943396226415093,0.09047655267201193,-0.2,0.09047655267201193,SocialMedia
snapchat_users_total,2024,800000000.0,1.3054755043227666,0.09047655267201193,-0.2,0.09047655267201193,SocialMedia
tiktok_users_age_18_29,2014,0.0,0.0,0.09104374554047844,0.09999999999999999,0.09104374554047844,SocialMedia
tiktok_users_age_18_29,2016,0.05,,0.09104374554047844,0.09999999999999999,0.09104374554047844,SocialMedia
tiktok_users_age_18_29,2018,0.4,7.0,0.09104374554047844,0.09999999999999999,0.09104374554047844,SocialMedia
tiktok_users_age_18_29,2020,0.42,0.049999999999999906,0.09104374554047844,0.09999999999999999,0.09104374554047844,SocialMedia
